epsL,epsT,epsM,c,hbar,G
0.0021483128454617226,0.008406821470275957,-0.004046393864317435,297931846.1476212,1.0460284428597097E-34,6.63271084497085E-11
0.0032651019507475305,0.00802020469988554,-0.003777577790064648,298378256.24634457,1.0490462786799542E-34,6.658218673820029E-11
-0.007419422179493504,0.00892897123455536,-0.00023211704989191742,294934707.667039,1.0295472785321246E-34,6.41331653645684E-11
-0.009368215439708089,-0.009370824429317475,-0.004218959655666734,299793247.5541815,1.0402875858641885E-34,6.639821686001099E-11
0.0018145428400443819,-0.0023431535308311635,0.0031325142338755503,301041831.48854345,1.0642114922905186E-34,6.721203383305932E-11
0.005241017114053495,-0.004771666798992229,-0.006643796687238344,302808577.0365375,1.0636502325254257E-34,6.890739868880455E-11
-0.0012354840784473478,-0.0066132325038284635,-0.00359201482367749,301415399.30715495,1.0551669947469816E-34,6.762715167090568E-11
0.0061439652726535034,-0.008030609649272484,-0.008186760096240569,304076290.44310284,1.0674020794395446E-34,6.965618100502889E-11
0.00565079945262212,-0.0034309407575836273,0.005688794702052384,302524468.5870081,1.0762837397017986E-34,6.796243383011976E-11
-0.00284658673751164,0.009875513484736828,0.004568956557053886,296015765.0852571,1.0430665843237238E-34,6.459162741651762E-11
-0.00013199420205584067,-0.0024889080744530043,0.0023014076750745745,300500806.01619726,1.0593564404567055E-34,6.689596635992386E-11
0.0020884860114089784,0.004437245846412741,-0.005848204211861381,299091428.15756905,1.0481373515731742E-34,6.696156905768317E-11
0.002819504601716191,-0.0014618420352237767,-0.0011974914420065774,301077852.4755144,1.0608077019670208E-34,6.758729805338292E-11
0.008853650551186932,-0.00484996876343613,0.001183729266414935,303920721.6676625,1.0798358023522954E-34,6.911929951479874E-11
-0.0046555717360170345,0.006509556068687515,0.0025330181645829737,296466884.8961237,1.0406476852898885E-34,6.480244658453264E-11
-0.004276767939085211,-0.00039467544522907815,0.0013509683663035649,298628176.4357388,1.0473967028497117E-34,6.58533996821355E-11
-0.0018377325950597132,0.0015307187259452366,0.0010323442086566364,298784165.11162806,1.0501764951090274E-34,6.610472616491381E-11
-0.00023316797319361017,-0.003194202174768075,-0.007188364593070689,300682998.2872343,1.0498564312896779E-34,6.761046588241591E-11
0.0030391445953013123,0.008833022123453048,-0.0018153796796575514,298070705.4924745,1.0497926061081705E-34,6.6299448648434E-11
-0.00481051098490727,0.008708240258060168,0.004590925944707223,295774626.5771269,1.0401869576503937E-34,6.435802033558688E-11
-0.006391803922757891,0.0067076760098769336,-0.001803143906223572,295891499.08103,1.032331808010194E-34,6.47184729786903E-11
-0.005982838555575398,-0.006163673841853248,-0.006521342825334773,299847007.27893,1.0416158996692061E-34,6.680348137807863E-11
-0.00885057347672541,-0.008031403967710665,-0.0021320367626506773,299544888.8313706,1.0421484458675465E-34,6.618418103239723E-11
0.009864581654077135,0.0014286810277443444,-0.005346714253852376,302317869.3768906,1.0682038487588597E-34,6.891017824260563E-11
-0.004470129257860249,-0.005323189169493969,-0.008206667138608448,300049567.5706116,1.042134906929052E-34,6.710941286208639E-11
0.0038224105774473174,0.004672755090323945,0.009238258469159289,299538716.7988273,1.0674782022180958E-34,6.627251153922448E-11
-0.00805959395136994,0.006402129339275345,-0.009914755128584059,295484522.38875014,1.0208181068901136E-34,6.496011504263806E-11
0.0029988448723073484,-0.00493707058078128,0.007717413877860018,302183389.7992081,1.074398127766503E-34,6.74943104143631E-11
-0.006894189319822027,-0.004243522125633547,0.007942778003078252,298994421.4808883,1.0528098603807456E-34,6.541090144990274E-11
-0.0056831549889930465,-0.006096606003357874,0.0003464791335267819,299917167.8023889,1.0493781787907766E-34,6.639590875395896E-11
0.0015168325275483827,-0.008579130829470745,0.0028085230883136726,302845342.768515,1.0699232537670414E-34,6.802152322015233E-11
-0.008173669460333306,0.007219285501968856,0.009051933234235176,295210842.1885712,1.0392903959015728E-34,6.36137561914085E-11
0.004651853399064838,-0.008586149257675956,0.006450483891867179,303795481.9163023,1.0805497603399288E-34,6.841480854668387E-11
-0.003966131589401694,-0.0067483498732436205,-0.004100320339469994,300632213.0186793,1.0490125173899578E-34,6.712647763856077E-11
-0.0058618706311494104,-0.007448023557427004,-0.006811073964408641,300271542.9203051,1.0429133653270763E-34,6.702047962466265E-11
-0.005551886411670719,-0.004544579454327476,-0.0031279616477110682,299489096.3200396,1.0443787244448536E-34,6.644603373839154E-11
0.002401459616015506,0.007685020964858699,0.0025158817416946373,298220566.1778443,1.0542072534221206E-34,6.603739414829481E-11
-0.00025412516574776015,-0.003997702092942914,-0.005345001740250257,300919258.74240214,1.0526100965016334E-34,6.758984273641834E-11
0.005367521858240994,-0.005157927051330573,-0.0063935748121263375,302964268.1656087,1.0645991398627147E-34,6.896958280060358E-11
0.0025680796020069816,0.00813796992331617,-0.009240603399957843,298136126.06922,1.0417227170995999E-34,6.67942686521681E-11
0.0009686540204740506,-0.006433600582794701,0.0032487400509395754,302025967.6109907,1.0669125966472217E-34,6.758724453116619E-11
-0.004867860818203414,0.003374602764330402,0.002878826870479821,297329740.2766536,1.0438137763523684E-34,6.514383337804084E-11
-0.001504916677253389,0.0011611178333749955,-0.008564825076328351,298994127.9162431,1.0411861220508483E-34,6.686074995466158E-11
